id_hex,id_estab,total_2017,input_2017,total_2018,input_2018,razao_social
89a8a06a013ffff,05344092000493,7,rais_2017,6,rais_2017,DW SAO PAULO CONSULTORIA E SERVICOS DE INFORM
89a8a06a013ffff,05345149000126,4,rais_2017,,,
89a8a06a013ffff,05370858000161,,,20,new_estab_2018,PROCUREMENT NEGOCIOS ELETRONICOS S/A
89a8a06a013ffff,05378454000114,3,rais_2017,6,rais_2017,CANUT E OLIVEIRA LIMA ADVOGADOS ASSOCIADOS
89a8a06a013ffff,05391355000172,5,rais_2017,,,
89a8a06a013ffff,05475166000188,2,rais_2017,1,rais_2017,NEWTON DORESTE BAPTISTA
89a8a06a013ffff,05529065000142,1,rais_2017,1,rais_2017,ESCRITORIO DE ADVOCACIA WALTER SZTAJNBERG
89a8a06a013ffff,05590703000130,1,rais_2017,1,rais_2017,QUINTANILHA ADVOGADOS ASSOCIADOS-ME
89a8a06a013ffff,05797891000172,1,rais_2017,1,rais_2017,PARETO E GUIMARAES ADVOGADOS E CONSULTORES
89a8a06a013ffff,05808174000107,10,rais_2017,35,cep_changed_2018,TIFARA CONSTRUCAO E CONSULTORIA EIRELI
89a8a06a013ffff,05857373000105,2,rais_2017,1,rais_2017,PASTELARIA LIDER DA DEBRET LTDA
89a8a06a013ffff,05937813000126,1,rais_2017,1,rais_2017,EDUARDO SUSSEKIND E ADVOGADOS ASSOCIADOS
89a8a06a013ffff,05956039000109,9,rais_2017,8,rais_2017,FARMACIA DEBRET CENTER LTDA
89a8a06a013ffff,05972073000169,11,rais_2017,11,rais_2017,M H C MORAES RESTAURANTE
89a8a06a013ffff,06018571000130,11,rais_2017,8,rais_2017,FERREIRA E PRATES INFORMATICA E CONTABILIDADE
89a8a06a013ffff,06095488000164,1,rais_2017,1,rais_2017,JAIR VIEIRA E ADVOGADOS ASSOCIADOS
89a8a06a013ffff,06141498000199,1,rais_2017,1,rais_2017,SALOMAO ALMEIDA ADVOGADOS ASSOCIADOS
89a8a06a013ffff,06250953000194,2,rais_2017,,,
